tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Timbavati	TG01-9	TG01	TG01-9	TG01-9:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	189.1	l	2.0	1.0	3	100
	This study	Timbavati	TG02-1	TG02	TG02-1	TG02-1:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	192.2	l	11.3	1.4	3	-1
	This study	Timbavati	TG02-1	TG02	TG02-1	TG02-1:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	192.2	l	11.3	1.4	3	0
	This study	Timbavati	TG02-1	TG02	TG02-1	TG02-1:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	192.2	l	11.3	1.4	3	100
	This study	Timbavati	TG02-10	TG02	TG02-10	TG02-10:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	197.4	l	11.5	1.0	3	-1
	This study	Timbavati	TG02-10	TG02	TG02-10	TG02-10:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	197.4	l	11.5	1.0	3	0
	This study	Timbavati	TG02-10	TG02	TG02-10	TG02-10:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	197.4	l	11.5	1.0	3	100
	This study	Timbavati	TG02-11	TG02	TG02-11	TG02-11:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	7.000e-02	T		u	0.0	194.4	l	12.3	1.5	4	-1
	This study	Timbavati	TG02-11	TG02	TG02-11	TG02-11:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	7.000e-02	T		u	0.0	194.4	l	12.3	1.5	4	0
	This study	Timbavati	TG02-11	TG02	TG02-11	TG02-11:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	7.000e-02	T		u	0.0	194.4	l	12.3	1.5	4	100
