tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	sample_azimuth
This study	JP31-1	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	209.9	15.0	SO-NO	0
This study	JP31-10	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP31-2	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.1	15.0	SO-NO	0
This study	JP31-3	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP31-4	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP31-5	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP31-6	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	209.8	15.0	SO-NO	0
This study	JP31-7	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	209.5	15.1	SO-NO	0
This study	JP31-8	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP31-9	JP31	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP33-1	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-10	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-2	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-3	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.1	15.0	SO-NO	0
This study	JP33-4	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-5	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-6	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-7	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-8	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP33-9	JP33	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	210.0	15.0	SO-NO	0
This study	JP34-1	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP34-2	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP34-3	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
