tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	209.05	g	47.5	2.028e-02	4	u	273.	0.0300	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	203.63	g	38.66	7.849e-03	5	u	273.	0.0400	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	204.66	g	32.37	2.893e-03	6	u	273.	0.0500	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	204.86	g	33.71	1.062e-03	7	u	273.	0.0600	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	198.31	g	28.34	5.042e-04	8	u	273.	0.0700	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	202.61	g	29.19	2.319e-04	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	169.96	g	35.65	2.359e-05	10	u	273.	0.0900	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	179.68	g	36.08	1.874e-05	11	u	273.	0.0999	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	96.37	g	87.57	8.321e-03	0	u	273.		273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	43.77	g	87.54	7.968e-03	1	u	273.		473.0
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	355.86	g	85.93	6.902e-03	2	u	273.	0.0100	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	13.86	g	84.17	2.697e-03	3	u	273.	0.0200	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	335.93	g	81.39	1.222e-03	4	u	273.	0.0300	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	328.35	g	80.56	7.688e-04	5	u	273.	0.0400	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	341.63	g	82.33	5.195e-04	6	u	273.	0.0500	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	333.34	g	82.2	3.782e-04	7	u	273.	0.0600	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	322.62	g	80.89	2.754e-04	8	u	273.	0.0700	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	322.5	g	80.57	1.965e-04	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	320.28	g	80.87	2.436e-04	10	u	273.	0.0900	273.
Tk	This study	Botswana	JP6-5	JP6	JP6-5	JP6-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	321.02	g	80.97	1.254e-04	11	u	273.	0.0999	273.
Tk	This study	Botswana	JP16-10	JP16	JP16-10	JP16-10:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	56.97	g	13.33	2.400e-06	0	u	273.		273.
Tk	This study	Botswana	JP16-10	JP16	JP16-10	JP16-10:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	151.57	g	-13.42	1.061e-06	1	u	273.		473.0
Tk	This study	Botswana	JP16-10	JP16	JP16-10	JP16-10:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	203.36	g	-26.78	9.215e-06	2	u	273.	0.0100	273.
Tk	This study	Botswana	JP16-10	JP16	JP16-10	JP16-10:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	194.69	g	-27.92	1.348e-05	3	u	273.	0.0200	273.
