tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:21:32.00	265.0224274	g	-4.049689878	4.68E-07	1206051	1.067	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:21:47.00	230.8278781	g	-16.09447159	1.03E-06	1206052	1.267	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:22:02.00	243.9864851	g	-22.03331324	5.87E-07	1206053	1.467	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:25:40.00	57.97858214	g	-4.424762262	6.21E-07	1206054	0.067	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:25:55.00	70.31565835	g	19.29103518	5.47E-07	1206055	0.267	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:26:10.00	52.85677791	g	-12.72262597	1.04E-06	1206056	0.467	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:26:25.00	65.13167551	g	-12.36213881	7.29E-07	1206057	0.667	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:26:40.00	236.2502198	g	-11.25049996	3.70E-07	1206058	0.867	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:26:55.00	263.4632555	g	1.04319538	4.08E-07	1206059	1.067	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:27:10.00	226.6848851	g	-11.3142602	8.35E-07	1206060	1.267	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:27:26.00	239.6528975	g	-17.85840483	4.44E-07	1206061	1.467	u		0.01		
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:31:08.00	66.80248389	g	9.061781457	3.33E-07	1206063	0.067	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:31:23.00	78.77404731	g	26.82076247	3.44E-07	1206064	0.267	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:31:38.00	67.07598738	g	-2.792446913	5.49E-07	1206065	0.467	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:31:53.00	76.20990906	g	-4.260277531	3.69E-07	1206066	0.667	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:32:08.00	233.7398945	g	-0.113022917	3.02E-07	1206067	0.867	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:32:23.00	260.489734	g	10.68648408	2.87E-07	1206068	1.067	u		0.015		
