tab	er_specimens								
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type	specimen_weight	er_expedition_name
This study	PW19-1b	PW19-1	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW19-4b	PW19-4	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW19-5b	PW19-5	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW19-8b	PW19-8	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW19-9b	PW19-9	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW2-1a	PW2-1	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0042835	Botswana 2012
This study	PW2-2a	PW2-2	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0041117	Botswana 2012
This study	PW2-3a	PW2-3	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0048694	Botswana 2012
This study	PW2-4a	PW2-4	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0050132	Botswana 2012
This study	PW2-6a	PW2-6	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0052014	Botswana 2012
This study	PW2-7a	PW2-7	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0048937	Botswana 2012
This study	PW2-8a	PW2-8	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0054412	Botswana 2012
This study	PW2-9a	PW2-9	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0056352	Botswana 2012
This study	PW20-1a	PW20-1	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0052405	Botswana 2012
This study	PW20-2a	PW20-2	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0045595	Botswana 2012
This study	PW20-3a	PW20-3	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0052634	Botswana 2012
This study	PW20-4a	PW20-4	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.005601	Botswana 2012
This study	PW20-5a	PW20-5	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0046656	Botswana 2012
This study	PW20-6a	PW20-6	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0051122	Botswana 2012
This study	PW20-7a	PW20-7	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0043019	Botswana 2012
This study	PW20-8a	PW20-8	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	0.0048445	Botswana 2012
This study	PW20-1b	PW20-1	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW20-2b	PW20-2	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW20-3b	PW20-3	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW20-4b	PW20-4	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW20-5b	PW20-5	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW20-6b	PW20-6	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW21-1a	PW21-1	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.004902	Botswana 2012
This study	PW21-3a	PW21-3	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047282	Botswana 2012
This study	PW21-4a	PW21-4	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0045717	Botswana 2012
This study	PW21-5a	PW21-5	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0045613	Botswana 2012
This study	PW21-6a	PW21-6	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047127	Botswana 2012
This study	PW22-10a	PW22-10	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0050139	Botswana 2012
This study	PW22-1a	PW22-1	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054517	Botswana 2012
This study	PW22-2a	PW22-2	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0049011	Botswana 2012
This study	PW22-3a	PW22-3	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047936	Botswana 2012
This study	PW22-4a	PW22-4	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0048861	Botswana 2012
This study	PW22-5a	PW22-5	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0051809	Botswana 2012
This study	PW22-6a	PW22-6	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053869	Botswana 2012
This study	PW22-9a	PW22-9	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	0.0055395	Botswana 2012
This study	PW22-1b	PW22-1	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW22-2b	PW22-2	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW22-3b	PW22-3	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW22-4b	PW22-4	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW22-5b	PW22-5	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW22-6b	PW22-6	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW23-10a	PW23-10	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0042893	Botswana 2012
This study	PW23-1a	PW23-1	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0055908	Botswana 2012
This study	PW23-2a	PW23-2	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0051281	Botswana 2012
This study	PW23-3a	PW23-3	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054979	Botswana 2012
This study	PW23-4a	PW23-4	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0049548	Botswana 2012
This study	PW23-5a	PW23-5	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053944	Botswana 2012
This study	PW23-7a	PW23-7	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0045971	Botswana 2012
This study	PW23-8a	PW23-8	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	0.0048479	Botswana 2012
This study	PW23-1b	PW23-1	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW23-2b	PW23-2	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW23-3b	PW23-3	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW23-4b	PW23-4	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW23-5b	PW23-5	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW23-7b	PW23-7	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW24-10a	PW24-10	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0048266	Botswana 2012
