tab	er_samples													
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_bed_dip_direction	er_expedition_name	sample_description	sample_bed_dip	sample_dip	sample_azimuth
This study	PW18-18	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-31	341.7
This study	PW18-2	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-22	26.9
This study	PW18-3	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-25	305.3
This study	PW18-4	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-18	184
This study	PW18-5	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-11	187.6
This study	PW18-6	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-45	82.9
This study	PW18-7	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-36	67.6
This study	PW18-8	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-48	110.2
This study	PW18-9	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-17	107.8
This study	PW19-1	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-82	221.4
This study	PW19-10	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-24	162.2
This study	PW19-11	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-13	135.6
This study	PW19-12	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-15	213.4
This study	PW19-13	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-18	203
This study	PW19-2	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-30	296.5
This study	PW19-3	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-32	285.6
This study	PW19-4	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-19	226.4
This study	PW19-5	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-51	261.1
This study	PW19-6	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-26	156.7
This study	PW19-8	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-10	327.9
This study	PW19-9	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3761	25.4684	290.1	Botswana 2012	pmag core	4	-22	184.6
This study	PW2-1	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-72	237.1
This study	PW2-2	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-73	224.5
This study	PW2-3	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-86	220.8
This study	PW2-4	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-97	263.9
This study	PW2-5	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-92	263.9
This study	PW2-6	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-87	204.6
This study	PW2-7	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-85	181.3
This study	PW2-8	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-66	195.1
This study	PW2-9	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6882	25.8645	224.6	Botswana 2012	pmag core	6	-74	196.8
This study	PW20-1	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-29	277.4
This study	PW20-2	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-27	205.5
This study	PW20-3	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-12	107.3
This study	PW20-4	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-47	217.6
This study	PW20-5	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-22	294.7
This study	PW20-6	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-24	194.7
This study	PW20-7	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-17	54.5
This study	PW20-8	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	-24.2405	25.8522	12.79	Botswana 2012	pmag core	3	-32	76.8
This study	PW21-1	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9074	26.3894	262.85	Botswana 2012	pmag core	10	-19	68.8
This study	PW21-3	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9074	26.3894	262.85	Botswana 2012	pmag core	10	-16	354.7
This study	PW21-4	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9074	26.3894	262.85	Botswana 2012	pmag core	10	-18	30.1
This study	PW21-5	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9074	26.3894	262.85	Botswana 2012	pmag core	10	-23	74.8
This study	PW21-6	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9074	26.3894	262.85	Botswana 2012	pmag core	10	-22	86.5
This study	PW22-1	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-28	265.3
This study	PW22-10	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-47	350.6
This study	PW22-11	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-16	233.6
This study	PW22-12	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-24	227.6
This study	PW22-2	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-39	261.7
This study	PW22-3	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-23	280.9
This study	PW22-4	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-24	288.8
This study	PW22-5	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-69	287.1
This study	PW22-6	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-35	344.6
This study	PW22-7	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-16	216
This study	PW22-8	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-15	322.4
This study	PW22-9	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-22.907	26.3893	262.85	Botswana 2012	pmag core	10	-22	295.7
This study	PW23-1	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9034	26.371	262.86	Botswana 2012	pmag core	10	-25	48.6
This study	PW23-10	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9034	26.371	262.86	Botswana 2012	pmag core	10	-22	285.5
This study	PW23-11	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9034	26.371	262.86	Botswana 2012	pmag core	10	-24	29.9
This study	PW23-12	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	-22.9034	26.371	262.86	Botswana 2012	pmag core	10	-26	23
