tab 	magic_measurements																										
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_positions	measurement_standard	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:08:39.00	-3.274273775		g	27.63388996	5.96E-06	1174629	1.267		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:08:54.00	-16.34287213		g	47.255404	2.69E-07	1174630	1.467		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:12:31.00	54.07195423		g	8.334477937	1.80E-06	1174632	0.067		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:12:46.00	57.09604534		g	4.519269591	3.50E-06	1174633	0.267		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:13:01.00	-10.19056792		g	42.10930258	4.54E-06	1174634	0.467		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:13:16.00	1.624949217		g	34.40929469	1.98E-07	1174635	0.667		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:13:31.00	21.02455696		g	25.32475875	6.17E-06	1174636	0.867		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:13:47.00	-6.908383741		g	23.99187082	6.98E-06	1174637	1.067		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:14:02.00	-3.401628954		g	27.67762422	5.61E-06	1174638	1.267		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:14:17.00	-16.7092537		g	46.53797367	2.37E-07	1174639	1.467		u					0.01		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:17:59.00	51.36324481		g	8.257471686	1.34E-06	1174640	0.067		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:18:14.00	55.41201651		g	4.87163648	2.65E-06	1174641	0.267		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:18:29.00	-9.9055726		g	41.92378769	3.67E-06	1174642	0.467		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:18:44.00	-2.707689739		g	36.92679693	1.49E-07	1174643	0.667		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:18:59.00	21.47723693		g	25.14888424	5.43E-06	1174644	0.867		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:19:14.00	-7.385437757		g	24.07580873	5.95E-06	1174645	1.067		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:19:29.00	-4.101652077		g	27.78606816	4.19E-06	1174646	1.267		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:19:44.00	-17.43123661		g	44.82882112	1.79E-07	1174647	1.467		u					0.015		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:23:31.00	50.91627982		g	8.766224826	8.73E-07	1174649	0.067		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:23:46.00	55.13024666		g	5.171240666	1.73E-06	1174650	0.267		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:24:01.00	-8.333057719		g	42.4261712	2.41E-06	1174651	0.467		u					0.02		
