tab 	er_expeditions
expedition_description	expedition_start_lon	er_expedition_name	expedition_start_loc	expedition_start_lat	er_citation_names
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	25.86	Botswana 2012	"-24.6878,25.8622"	-24.6878	This study
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-6	pmag core	Sill	82.10	Botswana	Botswana 2012	-24.1807	-19	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-7	pmag core	Sill	132.60	Botswana	Botswana 2012	-24.1807	-40	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-8	pmag core	Sill	96.20	Botswana	Botswana 2012	-24.1807	-50	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-9	pmag core	Sill	114.80	Botswana	Botswana 2012	-24.1807	-35	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-1	pmag core	Sill	309.60	Botswana	Botswana 2012	-24.1804	-34	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-2	pmag core	Sill	317.00	Botswana	Botswana 2012	-24.1804	-26	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-3	pmag core	Sill	317.00	Botswana	Botswana 2012	-24.1804	-15	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-4	pmag core	Sill	202.00	Botswana	Botswana 2012	-24.1804	-80	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-5	pmag core	Sill	209.10	Botswana	Botswana 2012	-24.1804	-81	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-6	pmag core	Sill	201.50	Botswana	Botswana 2012	-24.1804	-78	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-7	pmag core	Sill	202.50	Botswana	Botswana 2012	-24.1804	-63	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 2 Sill	PW15-8	pmag core	Sill	188.90	Botswana	Botswana 2012	-24.1804	-26	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-1	pmag core	Sill	357.50	Botswana	Botswana 2012	-24.1803	-63	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-2	pmag core	Sill	1.00	Botswana	Botswana 2012	-24.1803	-63	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-3	pmag core	Sill	355.10	Botswana	Botswana 2012	-24.1803	-65	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-4	pmag core	Sill	357.80	Botswana	Botswana 2012	-24.1803	-39	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-5	pmag core	Sill	8.20	Botswana	Botswana 2012	-24.1803	-27	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-6	pmag core	Sill	312.00	Botswana	Botswana 2012	-24.1803	-26	4	25.69	Intrusive
350.32	This study	Dolerite	Mogatelwane 2 Sill	PW16-7	pmag core	Sill	338.50	Botswana	Botswana 2012	-24.1803	-33	4	25.69	Intrusive
0.00	This study	Dolerite	Mogatelwane 2 Sill	PW17-1	pmag core	Sill	287.60	Botswana	Botswana 2012	-24.1803	-12	0	25.69	Intrusive
