tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:40:57.00	251.4010717	g	16.23919988	1.40E-06	1233365	0.267	u	0.09		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:41:12.00	-35.4100743	g	73.9297696	7.58E-07	1233366	0.467	u	0.09		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:41:28.00	32.4221096	g	84.61073176	7.11E-07	1233367	0.667	u	0.09		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:51:59.00	266.507074	g	35.47034927	1.17E-06	1233375	0.067	u	0.1		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:52:15.00	252.5778668	g	16.90149504	1.23E-06	1233376	0.267	u	0.1		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:52:30.00	-33.98673137	g	72.03529069	6.87E-07	1233377	0.467	u	0.1		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:52:45.00	41.61043188	g	88.0786191	5.48E-07	1233378	0.667	u	0.1		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:59:05.00	268.4648937	g	39.39979548	8.25E-07	1233383	0.067	u	0.12		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:59:20.00	254.2559382	g	15.63752971	9.92E-07	1233384	0.267	u	0.12		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:59:35.00	-57.35725954	g	72.68590769	5.19E-07	1233385	0.467	u	0.12		
